subject,dataset,baseline_eyes_open_mean,baseline_eyes_open_median,baseline_eyes_open_n_windows,baseline_eyes_open_fz_art_pct,baseline_eyes_open_pz_art_pct,baseline_eyes_closed_mean,baseline_eyes_closed_median,baseline_eyes_closed_n_windows,baseline_eyes_closed_fz_art_pct,baseline_eyes_closed_pz_art_pct,low_cognitive_load_mean,low_cognitive_load_median,low_cognitive_load_n_windows,low_cognitive_load_fz_art_pct,low_cognitive_load_pz_art_pct,high_cognitive_load_mean,high_cognitive_load_median,high_cognitive_load_n_windows,high_cognitive_load_fz_art_pct,high_cognitive_load_pz_art_pct
1,fz_pz,17.018968923684884,6.41710964576483,160,9.688888888888888,1.4444444444444444,5.90282226062648,2.0182514038154538,178,6.036395916555703,1.5090989791389258,6.160261272241792,2.0163173192721646,356,4.320302087960906,1.6548200799644603,2.3681206154280634,1.189142108313793,358,2.4224913879319923,1.4001555728414268
3,fz_pz,0.4289494381314837,0.2135900348879811,177,6.936416184971098,10.404624277456648,0.3145839269916916,0.1216912308848838,175,1.665926254997779,5.819635717458907,0.2971519428187968,0.1522791581260338,355,4.133333333333334,9.188888888888888,0.4931706822788139,0.1799880480592637,350,4.511111111111111,9.955555555555556
4,fz_pz,4.143580004659351,1.7263768993933533,178,4.045343409646589,4.312069348744165,11.056751654765748,5.537901214829633,178,6.622222222222222,6.755555555555556,13.070356783711745,7.388228661338648,353,9.164630082203956,9.064652299489005,9.383678999183411,4.185880411474264,356,6.777777777777778,5.6
heberto,fz_pz,3.019549035485206,0.2055848659636889,171,18.288888888888888,33.28888888888889,1.5169255750580724,0.114290243473657,168,14.333333333333334,33.333333333333336,0.211724772916132,0.0840136480513834,341,6.9,16.455555555555556,0.3477157148272395,0.125642529113518,347,7.133333333333334,10.066666666666666
jonhy,fz_pz,2.121023919622533,0.5099126856272165,179,1.6437139049311418,1.5770768547312306,0.4383047087055103,0.1751455572154865,178,0.6838738142510479,0.8382969335980587,0.8369218102600107,0.3279792827620982,357,2.135900841080124,1.99203187250996,1.7821000430069187,0.8872076674562412,357,5.29418307196085,4.726949171393616
michelle,fz_pz,0.7521484495203853,0.3533186025632133,179,0.7746790615316512,1.0181496237273129,0.0553573742441211,0.0332620162542937,120,0.5316792202038104,0.310146211785556,0.4391407191704698,0.1346167315826686,344,0.6973655080805845,1.062652202789462,0.5779469006920555,0.1275603997509549,348,0.630391506303915,1.094890510948905
clau2,fz_pz,0.8237233521083475,0.4287539823698316,179,1.0176991150442478,0.7522123893805309,0.326383807694681,0.1665907207371639,178,0.7746790615316512,0.2877379371403276,0.8448304854626869,0.4096270833624942,360,0.8630227926532419,1.0179243195397212,0.7290437088829792,0.4165373696385712,360,0.7748505645339827,0.7748505645339827
1,region,1.5498580152967063,0.6744652784005414,177,4.266666666666667,4.266666666666667,0.4462527138808764,0.2280322166535612,178,2.33022636484687,2.33022636484687,0.8310921022861022,0.4457750927847957,359,5.064415815193248,5.064415815193248,1.6773622209178152,1.214234219669471,358,1.9557728636515168,1.9557728636515168
2,region,1.9517412336080024,1.00746707202441,179,5.977777777777778,5.977777777777778,0.438981893943319,0.2160105544700702,179,1.0444444444444445,1.0444444444444445,2.757044561818104,1.417152465989402,359,3.3666666666666667,3.3666666666666667,4.059041389218306,1.8612143615848835,356,25.48060895655073,35.703967107456386
3,region,1.5098677978203794,0.8803335741161732,178,7.492218763895065,7.492218763895065,0.9866694962025324,0.4989009467036796,178,3.4429142603287426,3.4429142603287426,1.5047134232923531,0.8265585764400644,359,6.177777777777778,6.177777777777778,1.0501542848061256,0.5572925992837814,358,4.011111111111111,4.011111111111111
4,region,0.9491493039027038,0.5200987545929012,178,3.956434763280729,3.956434763280729,1.9950911130599729,1.1077990598475909,179,7.044444444444444,7.044444444444444,1.4230270974583212,0.7065508643291576,359,9.453454787824928,9.453454787824928,1.049577736237599,0.514665470121571,358,6.211111111111111,6.211111111111111
Rafael,region,36.807342254253605,30.570237480505472,98,40.96452328159645,45.67627494456763,32.94363093343631,32.605279226032664,108,38.26135105204872,42.967884828349945,38.21710111126324,37.64638538594868,22,35.13513513513514,40.54054054054054,32.832017728565006,22.33688271614025,32,35.650887573964496,41.56804733727811
heberto,region,2.097174453523293,0.934627821019088,179,19.444444444444443,19.444444444444443,1.6254272297896568,0.7880286212219247,178,21.08888888888889,21.08888888888889,1.3055759948073522,0.5765010203614055,358,13.811111111111112,13.811111111111112,1.3788863191862062,0.5488930923868139,359,6.966666666666667,6.966666666666667
jonhy,region,0.7379688796832776,0.4132033500276984,179,1.266103953798312,1.266103953798312,0.2497131348841436,0.1256730116894155,171,0.6397529230090447,0.6397529230090447,0.7992594658029744,0.3576165691606742,360,2.0252324037184595,2.0252324037184595,0.9163339420455312,0.5299205598815788,358,6.206206206206206,6.206206206206206
michelle,region,0.5138509506214087,0.0958815186613968,176,0.7082779991146525,0.7082779991146525,0.0376887942814651,0.0200550074240299,71,0.2879929109437306,0.2879929109437306,0.3099007416820705,0.0636322754731787,312,1.3172459597077706,1.3172459597077706,0.1957143544582451,0.0695206790832281,332,1.3603185136031852,1.3603185136031852
clau2,region,0.376268879796267,0.1746017271752693,178,1.0176991150442478,1.0176991150442478,0.1919881266907294,0.1214530301896653,177,0.398406374501992,0.398406374501992,0.3487996316036131,0.1301163610255241,355,1.4605001106439477,1.4605001106439477,0.3923676659990159,0.236282501740913,360,0.741642683196812,0.741642683196812
