subject,phase,n_samples,fz_artifacts,pz_artifacts,fz_artifact_pct,pz_artifact_pct,n_windows_before,n_windows_after,mean_ratio_before,mean_ratio_after,median_ratio_before,median_ratio_after,std_ratio_before,std_ratio_after
1,baseline_eyes_open,4500,192,192,4.266666666666667,4.266666666666667,35,35,0.38860613106397207,0.4464832699685305,0.25006529613402106,0.3126839161738932,0.36791578975141237,0.37237948676984917
1,baseline_eyes_closed,4506,105,105,2.3302263648468706,2.3302263648468706,35,35,0.5557639775471999,0.5733454933714027,0.38387045771680595,0.3944492469459928,0.6201976605542903,0.6243464371566899
1,low_cognitive_load,9004,456,456,5.0644158151932475,5.0644158151932475,71,71,0.34398080250192603,0.4526313335471801,0.2652359940834074,0.3583439363760329,0.2855360318135392,0.3572243364635494
1,high_cognitive_load,8999,176,176,1.9557728636515168,1.9557728636515168,70,70,0.5476661429735583,0.5667396796058091,0.3612241451557407,0.37338071250220584,0.4646912342187437,0.47871111975436786
2,baseline_eyes_open,4500,269,269,5.977777777777778,5.977777777777778,35,35,0.44017057744427657,0.5848858780429277,0.21522197873300733,0.2615922947899642,0.4869226313665758,0.7886008627985358
2,baseline_eyes_closed,4500,47,47,1.0444444444444445,1.0444444444444445,35,35,0.4614962229899308,0.48077113066637306,0.3435820759667004,0.3260520195869972,0.48918966989580626,0.5015589296940446
2,low_cognitive_load,9000,303,303,3.3666666666666667,3.3666666666666667,71,71,0.38320809709358655,0.3993788899384674,0.2977183134739776,0.2937858587276105,0.3916804973622027,0.3890830261878616
2,high_cognitive_load,8999,2293,3213,25.48060895655073,35.703967107456386,70,70,1.2105803779172715,3.7838217552535567,0.8155636311308516,1.8667228535679548,1.2816850081555935,4.630953735222952
3,baseline_eyes_open,4498,337,337,7.492218763895065,7.492218763895065,34,34,0.4708072945625504,0.6090962513198794,0.33570838051667556,0.39168794421450326,0.38646589748752647,0.6842047550137668
3,baseline_eyes_closed,4502,155,155,3.4429142603287426,3.4429142603287426,35,35,0.8048377677279981,0.9177535262609811,0.5370391183781001,0.512792904262538,0.6754166467384002,0.8935377444762999
3,low_cognitive_load,9000,556,556,6.177777777777778,6.177777777777778,71,71,0.5638418856909233,0.721316564133849,0.2998130489806712,0.3966046215080557,0.9157041123687337,1.5519527279202199
3,high_cognitive_load,9000,361,361,4.011111111111111,4.011111111111111,71,71,0.26905495533912765,0.35967034509970314,0.1710700327837173,0.2415390433950094,0.3227344220060914,0.43933356012346875
4,baseline_eyes_open,4499,178,178,3.956434763280729,3.956434763280729,34,34,0.5651219479535379,0.6497171178119627,0.32856846674476087,0.3785138374924264,0.6669778023656214,0.7163223309495443
4,baseline_eyes_closed,4500,317,317,7.044444444444444,7.044444444444444,35,35,0.3642464575894025,0.43281660158714486,0.22689032911300255,0.3220117121857749,0.2995107796932571,0.3738818637519455
4,low_cognitive_load,9002,851,851,9.453454787824928,9.453454787824928,71,71,0.37013966718772795,0.6662251869985643,0.23629245188085768,0.3275760548947703,0.3703033798000125,0.8698910098907747
4,high_cognitive_load,9000,559,559,6.211111111111111,6.211111111111111,71,71,0.5738373846953605,0.6381878240902901,0.21516906238584066,0.2532165442647858,1.7447713411247379,1.506086207781998
